Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,On-air,Sponsor,Features,Coordination,Last update,Downlink Tone,Op Status,Coverage,Affiliate,AllStar,Notes,Nets,Links,Web links,EchoLink,DMR Enabled,Color Code,Wide Network,Talkgroup Network,Talkgroups,Colorado,Southern Colorado,Denver Regional,Northern Colorado,IRLP,Worldwide,North America,Local/Cluster,Feed,D-STAR Enabled,Node,Sources,YSF Digital Enabled,DG-ID,Mixed-Mode,Commands,Location Photo,Grid,P25 Digital Enabled,NAC,Default Reflector,WIRES-X,RX Location,Gunbarrel,Lousville,Lyons,Louisville #2,English,TAC 310,N. Colorado,Worldwide English,DCI Bridge,Mountain Reg USA,Wyoming,WyLOCAL,Europe,Southwest USA
146.895,-0.6,100,AB0PC,"Bailey, Dick Mountain",CO,OPEN,A,36.1,NW,,146.895,146.295,100,Park,,AB0RR,25,CCARC,,100,On-Air,285,,45835,,Wed at 19:30.,"Full-time internet linked to  
        448.57500 (WZ0N) at Hartsel, CO .",Park County Radio Club (PCRC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.525,-5,203.5,N0ESQ,"Parker, Hess Reservoir",CO,OPEN,,36.5,NNE,,447.525,442.525,203.5,Douglas,,EmComm Colorado,,CCARC,,146.2,On-Air,"Denver metropolitan area, front range foothills",Colorado ARES,,"Not a ragchew machine. Traffic related to ARES, RACES and administrative and exercise traffic related thereto.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.975,-5,100,K0JSC,"Canon City, Canon City",CO,OPEN,,38.4,S,,449.975,444.975,100,Fremont,,K0JSC,Simulcast TX / Voted RX with Cedarwood and Salida,CCARC,,100,On-Air,,The Fun Machine,,,,Full-time to the  The Fun Machine System .,http://www.k0jsc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.98,-1.6,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,EI,38.8,NNW,,224.98,223.38,107.2,Jefferson,,Colorado Repeater Association,"Closed autopatch, e-power.",CCARC,,107.2,Off-Air,Wide area. Denver.,,,,,"Full-time to  
        145.16000 (W0CRA) at Colorado Springs, Cheyenne Mountain, CO .
 


Full-time to  
        147.22500 (W0CRA) at Larkspur, Westcreek, CO .",,347086,,,,,,,,,,3990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287.9,-20,CSQ,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,38.8,NNW,,1287.9,1267.9,CSQ,Jefferson,,Colorado Repeater Association (CRA),,CCARC,,,Off-Air,Fort Collins to Colorado Springs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.15,-5,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,38.8,NNW,,447.15,442.15,107.2,Jefferson,,Colorado Repeater Association (CRA),"Closed autopatch, e-power.",CCARC,,107.2,Off-Air,Wide area: Denver.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.225,-5,141.3,AB0BX,"Highlands Ranch, STEM School",CO,OPEN,EA,39,N,,447.225,442.225,141.3,Douglas,,,"AllStar, EchoLink, 25ft",CCARC,,141.3,Off-Air,8,,41967,,Amateur Satellite net 7PM MST thursday,,,373051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7375,-5,CC7,K0JSC,"Canon City, Fremont Peak",CO,OPEN,,39.3,SSW,,446.7375,441.7375,,Fremont,,,IPSC Link to the Colorado network on Talk Slot 2.,CCARC,,,On-Air,"Fremont county and state wide on Talk Slot 2.  40 mi radius. 
   Repeater Coverage Map",Rocky Mountain Ham Radio,,Talk Slot 2 linked to the RMHAM trbo system/Talk Slot 1 Local.,,Full-time to the  Colorado TRBO System .,http://www.k0jsc.com,,,7,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Southern Colorado  2  719    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,2,,,,,,,,,,,,,,,,DM78ii,,,,,,,,,,,,,,,,,,,
147.12,0.6,88.5,N0ARA,"Critchell, Critchell Mountain",CO,OPEN,,39.3,NNW,,147.12,147.72,88.5,Jefferson,,Aurora Repeater Association,E-power.,CCARC,,88.5,On-Air,Denver metro and east.,,,,,,http://www.n0ara.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.7,-25,D114,KB0TUC,"Canon City, Fremont Peak",CO,OPEN,,39.3,SSW,,927.7,902.7,D114,Fremont,,Royal Gorge ARC,,CCARC,,D114,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,39.3,SSW,,223.96,222.36,103.5,Fremont,,RGARC,"E-power (Bat), Remote Base",CCARC,,103.5,On-Air,"Wide area. 
   Repeater Coverage Map",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,,39.3,SSW,,145.49,144.89,103.5,Fremont,,Royal Gorge Amateur Radio Club,E-power (Bat),CCARC,,103.5,On-Air,,Colorado ARES Region 5 District 1,,,"RGARC Net: Wed at 19:00. 
ARES Net: Wed at 19:30.",,Royal Gorge Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,
447.75,-5,103.5,WD0EKR,"Canon City, Fremont Peak",CO,OPEN,I,39.3,SSW,,447.75,442.75,103.5,Fremont,,RGARC,E-power (Bat),CCARC,,103.5,On-Air,,,,,,,Royal Gorge Amateur Radio Club,,,,,,,,,,,3081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1.7,88.5,WB0WDF,"Canon City, Fremont Peak",CO,OPEN,,39.3,SSW,,53.03,51.33,88.5,Fremont,,WB0WDF,"E-power (Bat). Split Site; TX Fremont Peak, RX 8 Mile Mountain",CCARC,,88.5,On-Air,,RGARC,,Split site Fremont peak transmitter and 8 mile mountain reciever.,,,Http://www.qsl.net/rghc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.25,-5,100,K0JSC,"Canon City, Fremont Peak",CO,OPEN,EIA,39.3,SSW,,447.25,442.25,100,Fremont,,,,CCARC,,100,On-Air,"Wide from Custer County to Park County and Chaffee County to Pueblo County. 
   Repeater Coverage Map",,28368,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Full-time to the  The Fun Machine System .,K0JSC dot Com,363976,,,,,,,,,,7301,,,,Listen Live,,,,,,,,,DM78ik,,,,,,,,,,,,,,,,,,,
53.05,-1.7,107.2,W0CRA,"Conifer, Conifer Mountain",CO,OPEN,,39.7,NNW,,53.05,51.35,107.2,Jefferson,,Colorado Repeater Association (CRA),10,CCARC,,107.2,Off-Air,"Wide area: Cheyenne, Wyoming, to the north, Pueblo to the south, beyond Limon to the east and South Park to the southwest.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.975,-5,100,K0JSC,"Canon City, Colorado",CO,OPEN,EIA,40.1,SSW,,447.975,442.975,100,Fremont,,K0JSC,Autopatch.,CCARC,,100,On-Air,"Canon City area. 
   Repeater Coverage Map",,28368,,"Region 2 District 2 ARES Net: Tue at 19:00. 
EOSS Net: Tue at 20:00. 
RGARC Net: Wed at 19:00. 
Region 5 District 1 ARES Net: Wed at 19:30. 
APRS Net: Sun at 19:00. 
Region 5 District 2 ARES Net: Sun at 19:30. 
Statewide ARES Net: Sun at 20:00.",Full-time to the  The Fun Machine System .,http://www.k0jsc.com,363976,,,,,,,,,,7301,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.7,-5,146.2,WQ8M,Parker,CO,OPEN,I,41.4,NNE,,448.7,443.7,146.2,Douglas,,,,,,,On-Air,Local North Parker only,,,,,,,,,,,,,,,,,3415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.7625,-5,CC0,N0SZ,"Fairplay, Badger",CO,OPEN,,43.8,W,,446.7625,441.7625,,Park,,K7PFJ,,,,,On-Air,,RMHAM,,,,,,,,0,,,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Colorado  1  700      Denver Regional  2  720    
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.4,-0.8,100,KB0UDD,"Aurora, Smoky Hill",CO,OPEN,,45.6,NNE,,145.4,144.6,100,Arapahoe,,Castle Rock Repeater Group,"Autopatch, e-power.",CCARC,,,On-Air,Greater Denver area.,,,,,"Full-time to  
        448.50000 (KB0UDD) at Aurora, Smokey Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.8375,-25.8,100,KI0HC,Parker,CO,OPEN,,45.8,NE,,927.8375,902.025,,Douglas,,,,CCARC,,,On-Air,This repeater is east of parker so it covers up in the foothills. You can hilltop into Wyoming &amp; on I-80 west to MM323 The Abraham Lincoln Monument. South I-25 to Fountain MM125. The hills are your friends in the 900 world!,,,"Offset is -25.8125 
In Nac 294 Out Nac 293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,,,,,,,,,,,,,,,,,
145.34,-0.6,103.5,KE4GUQ,Evergreen,CO,OPEN,I,46.3,NNW,,145.34,144.74,103.5,Jefferson,,Rocky Mtn Radio League,E-power.,CCARC,,127.3,On-Air,Wide area.,,,,,,Repeater,,,,,,,,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.175,-0.6,CC1 D073,N0SZ,"Evergreen, Lower Squaw Mountain",CO,OPEN,,46.3,NNW,,145.175,144.575,D073,Clear Creek,,Rocky Mountain Ham Radio,,CCARC,,D073,Off-Air,,,,Please check the status of this repeater by going to the web link.  This repeater is capable of being remotely mode/frequency steered for Colorado EmComm/ARES use.,,,Rocky Mountain Ham Radio,,,1,,,,,,,,,,,,,,,,,,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
449.425,-5,D023,K0PWO,Centennial,CO,OPEN,A,46.6,NNE,,449.425,444.425,D023,Arapahoe,,K0PWO,,,,D023,Off-Air,,,29791,Colorado SNP (Shared non-protected pair),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,151.4,N0OBA,Aurora,CO,OPEN,E,46.6,NNE,,145.19,144.59,151.4,Arapahoe,,N0OBA,Autopatch (please contact trustee).,,,131.8,On-Air,"Aurora, Littleton, Denver, Morrison, North Colorado Springs to as far as Ft. Collins.",,,"Please note the PL's! Do not TSQ unless your radio can do split PL's. Otherwise you will not here the system. Regards, Scott","""Tri Lakes Net"" This net is held every Monday at 7:30pm local (except on the third Monday of the month when we have our regular radio club meeting.)",,,10079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.17,-1.7,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,47.7,N,,53.17,51.47,107.2,Jefferson,,N6LXX,,CCARC,,CSQ,On-Air,"I-70,I-76,I-25,I-225",N6LXX,29883,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.875,-5,107.2,N6LXX,"Morrison, Mt. Morrison",CO,OPEN,A,47.7,N,,447.875,442.875,107.2,Jefferson,,N6LXX,,CCARC,,107.2,On-Air,"I-70,I-76,I-25,I-225",N6LXX,29913,,,Full-time to the  N6LXX System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.575,-5,103.5,WZ0N,Hartsel,CO,OPEN,,47.7,W,,448.575,443.575,103.5,Park,,,,CCARC,,103.5,Off-Air,Western Park County,,,,,"Full-time internet linked to  
        146.89500 (AB0PC) at Bailey, Dick Mountain, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,100,W0TX,"Lakewood, Green Mtn",CO,OPEN,,47.8,N,,449.775,444.775,100,Jefferson,,Denver Radio Club,,CCARC,,100,On-Air,Metro Denver,,,,,,Denver Radio Club,,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
224.38,-1.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,47.8,N,,224.38,222.78,100,Jefferson,,Denver Radio Club,,CCARC,,100,On-Air,,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.33,0.6,100,W0TX,"Lakewood, Green Mountain",CO,OPEN,,47.8,N,,147.33,147.93,100,Jefferson,,Denver Radio Club,E-power.,CCARC,,,On-Air,Metro Denver and the foothills.,,,Not recommeded to use tone squelch on this repeater.,SATERN: Thu at 19:30.,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.75,-5,100,N0ELY,Lakewood,CO,OPEN,,49.2,N,,448.75,443.75,100,Jefferson,,,E-power.,CCARC,,100,On-Air,Local.,N0ELY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.09,-1.7,107.2,W0TX,"Lakewood, Green Mountain",CO,OPEN,,49.3,N,,53.09,51.39,107.2,Jefferson,,Denver Radio Club,E-power.,CCARC,,,On-Air,Metro Denver area.,,,,,,DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.95,-5,88.5,ND0Q,Pueblo,CO,OPEN,,49.6,SSE,,447.95,442.95,88.5,Pueblo,,Pueblo Ham Club,E-power.,CCARC,,,On-Air,Wide area.,,,Dual Mode Analog/DMR DMR is unlinked/stand alone for ARES.,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.26,-1.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,49.6,SSE,,224.26,222.66,88.5,Pueblo,,Pueblo Ham Club,E-power.,CCARC,,CSQ,Off-Air,Wide area.,,,,,,PHC repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.79,-0.6,88.5,ND0Q,"Pueblo, Baculite Mesa",CO,OPEN,,49.6,SSE,,146.79,146.19,88.5,Pueblo,,Pueblo HC,E-power.,CCARC,,CSQ,On-Air,Wide area.,,,,,,Pueblo Ham Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.825,-5,D073,W0TX,"Lakewood, St Anthony Medical Campus",CO,OPEN,,50.1,N,,447.825,442.825,D073,Jefferson,,Denver Radio Club,,CCARC,,D073,On-Air,,,,"Now operating in Narrow Band mode with Digital Code Squelch.
 Please reset your programing to use:
 12.5 KHz. bandwidth (+/- 2.5 KHz. deviation).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.15,-5,136.5,WR0AEN,Aurora,CO,OPEN,,50.3,NNE,,449.15,444.15,,Arapahoe,,Colorado Amateur Repeater Network (CARN),,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
448.975,-5,100,K0JSC,Pueblo West,CO,OPEN,EIA,50.8,SSE,,448.975,443.975,100,Pueblo,,,,CCARC,,100,On-Air,,,28368,Off air.  Will return to service,,Full-time to the  The Fun Machine System .,http://www.k0jsc.com,363976,,,,,,,,,,7301,,,,Listen Live,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.925,-5,100,K0FEZ,Denver,CO,OPEN,,51.5,N,,447.925,442.925,100,Denver,,RADOPS El Jebel Shriners,,CCARC,,100,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.675,-5,136.5,WR0AEN,Denver,CO,OPEN,I,51.5,N,,449.675,444.675,,Denver,,Colorado Amateur Repeater Network (CARN),,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,7708,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
447.9,-5,CSQ,WB0TPT,Denver,CO,OPEN,,51.5,N,,447.9,442.9,CSQ,Denver,,WB0TPT,,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.65,-5,136.5,WR0AEN,Denver,CO,OPEN,,51.5,N,,449.65,444.65,,Denver,,Colorado Amateur Repeater Network (CARN),,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,WR0AEN (B),"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
448.075,-5,123,N5EHP,Denver,CO,OPEN,,51.6,N,,448.075,443.075,123,Denver,,W0IG,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.55,-5,82.5,W0KIZ,Denver,CO,OPEN,,51.6,N,,448.55,443.55,82.5,Denver,,HPRA,E-power.,CCARC,,,Off-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.715,-0.6,123,N0JXN,Denver,CO,OPEN,,51.6,N,,146.715,146.115,123,Denver,,EARS,E-power.,CCARC,,123,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.475,-0.6,100,KE0SJ,"Boulder, Blue Mountain",CO,OPEN,,51.6,N,,145.475,144.875,100,Jefferson,,Intermountain Repeater Group,E-power.,CCARC,,,On-Air,"Wide Area: Ft. Collins to the North, Colorado Springs to the South, Parts of Akron to the east.",,,,,,Intermountain Repeater Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8375,-5,CC7,WA2YZT,"Golden, Lookout",CO,OPEN,,51.7,N,,446.8375,441.8375,,Jefferson,,WA2YZT,200,CCARC,,,On-Air,,,,See website for more info on CC/TS/TG programming.  www.rmham.org,,Full-time to the  Colorado TRBO System .,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.9,0,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,51.8,N,,1299.9,1299.9,,Jefferson,,Colorado D-Star,,,,,On-Air,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,W0CDS (A) DVAP 24/7,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
145.37,-0.6,CC7,N0SZ,"Golden, Lookout Mountain",CO,OPEN,,51.8,N,,145.37,144.77,,Jefferson,,Rocky Mountain Ham Radio,,CCARC,,,On-Air,,,,See the website for programming information.,,,Rocky Mountain Ham Radio,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.9625,-20,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,51.8,N,,1283.9625,1263.9625,,Jefferson,,Colorado D-Star,,CCARC,,,On-Air,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,W0CDS (A) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
446.9625,-5,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,51.8,N,,446.9625,441.9625,,Jefferson,,Colorado D-Star,,CCARC,,,On-Air,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,W0CDS (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
145.25,-0.6,,W0CDS,"Golden, Lookout Mountain",CO,OPEN,,51.8,N,,145.25,144.65,,Jefferson,,Colorado D-Star,,CCARC,,,On-Air,,,,,,,Colorado D-Star,,,,,,,,,,,,,,,,,W0CDS (C) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,
449.625,-5,141.3,W0KU,"Golden, Lookout Mountain",CO,OPEN,I,52,N,,449.625,444.625,141.3,Jefferson,,Rocky Mountain Ham Radio,E-power,CCARC,,141.3,On-Air,,,,,,,,,,,,,,,,,,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,-5,136.5,WR0AEN,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.1,NNW,,449,444,136.5,Clear Creek,,CARN,,CCARC,,136.5,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.5,-5,100,KB0UDD,"Aurora, Smokey Hill",CO,OPEN,,52.2,NNE,,448.5,443.5,100,Denver,,Castle Rock Repeater Group,E-power.,CCARC,,,On-Air,Greater Denver area.,,,,,"Full-time to  
        145.40000 (KB0UDD) at Aurora, Smoky Hill, CO .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.4,-5,94.8,N0ZUQ,Aurora,CO,OPEN,,52.2,NNE,,448.4,443.4,94.8,Arapahoe,,,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.275,-5,156.7,W0BG,Aurora,CO,OPEN,,52.2,NNE,,448.275,443.275,156.7,Arapahoe,,W0BG,,CCARC,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.825,-5,,WN7ANT,Aurora,CO,OPEN,W,52.2,NNE,,448.825,443.825,,Arapahoe,,,,,,,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,Open ↑ / Open ↓,,,,,,,,30584,,,,,,,,,,,,,,,
147.21,0.6,100,KD0SSP,"Lakewood, Moffat Treatment Plant",CO,OPEN,,52.4,N,,147.21,147.81,100,Jefferson,,Denver Water Amateur Radio Club,,,,100,On-Air,,,,,DVARC: Thu at 15:30. The net allows DWARC members the ability to test the radio capabilities as well as policies and procedures. This NET is a work in progress and has a good possibility to change times and locations.,,,,,,,,,,,,,,,,,,,,,,23,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,
448.675,-5,100,W0CFI,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.5,NNW,,448.675,443.675,100,Denver,,W0CFI,,CCARC,,100,On-Air,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.3,0.6,103.5,N0PYY,"Evergreen, Squaw Mountain",CO,OPEN,,52.6,NNW,,147.3,147.9,103.5,Clear Creek,,Denver PD EEB,,CCARC,,103.5,On-Air,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.175,-5,100,W0JRL,"Denver, Broadway Plaza Lofts",CO,OPEN,EA,52.7,N,,447.175,442.175,100,Denver,,W0JRL,,CCARC,,100,On-Air,,,29997,,,,,201712,,,,,,,,,,,,,,,,,,,,,Standard AllStar Link access commands.,,,,,,,,,,,,,,,,,,,,,
447.575,-5,107.2,W0CRA,"Idaho Springs, Squaw Mountain",CO,OPEN,EI,52.8,NNW,,447.575,442.575,107.2,Clear Creek,,Colorado Repeater Association (CRA),,CCARC,,107.2,On-Air,Wide area: Denver metro.,,,,,,http://www.w0cra.org,347088,,,,,,,,,,3291,,,,,,,,,,,Member-only IRLP and Echolink node,,,,,,,,,,,,,,,,,,,,,
146.67,-0.6,100,KB0UDD,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.8,NNW,,146.67,146.07,100,Clear Creek,,Castle Rock Repeater Group,11,CCARC,,100,On-Air,"North to Cheyenne, Wy - East to Limon, Co - South to Colorado Springs, Co and West to the Continental Divide.",,,,CRRG/QCWA: Sun at 0930. Southern Metro LDS Ham Group: Sun at 1900. ARES23: Thu at 1930. ARES13: Sun at 2000.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448.225,-5,141.3,N0SZ,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.8,NNW,,448.225,443.225,141.3,Clear Creek,,Rocky Mountain Ham Radio,E-power(gen).,CCARC,,141.3,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,103.5,W0WYX,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.8,NNW,,146.94,146.34,103.5,Clear Creek,,Rocky Mtn Radio League,11,CCARC,,103.5,On-Air,"Wide area: west to the Continental Divide, south to Colorado Springs, east to Limon, and north to Cheyenne.",,,,"Colorado WX: Daily at 06:30. 
RMRL: Mod at 20:30. 
Astronomy: Tue at 19:00. 
Amateur Radio Events: Tue at 20:00.","Linkable to  
        449.82500 (W0WYX) at Broomfield, CO .
 


Linkable to  
        449.45000 (K1DUN) at Idaho Springs, Squaw Mountain, CO .",Repeater,,,,,,,,,,,,,,,Listen Live,,,,,,,Autopatch: 911* / Off 0*.,,,,,,,,,,,,,,,,,,,,,
449.45,-5,103.5,K1DUN,"Idaho Springs, Squaw Mountain",CO,OPEN,,52.8,NNW,,449.45,444.45,103.5,Clear Creek,,Rocky Mountain Radio League,11,CCARC,,127.3,On-Air,"Wide area: West to the Continental Divide, south to
Colorado Springs, east to Limon, and north to Cheyenne.",,,,RMRL: Mon at 20:30.,,Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,100,W0TX,"Idaho Springs, Centennial Cone",CO,OPEN,,52.8,NNW,,145.49,144.89,100,Jefferson,,"KB0VIU,  Denver Radio Club",E-power.,CCARC,,100,On-Air,,,,,DRC: Sun at 20:30.,"Full-time to  
        448.62500 (W0TX) at Golden, Centennial Cone, CO .",DRC Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.35,-5,100,W0TX,"Idaho Springs, Squaw Mountain",CO,OPEN,E,52.8,NNW,,449.35,444.35,100,Clear Creek,,Denver Radio Club,11,CCARC,,100,On-Air,Wide area.,,,,,,DRC Repeaters,4140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
